FanID,IWave_Properties,IWave_PropertiesValue,IWave_AnnualCapacity,IWave_AnnualCapacityTargetProduction
1788,1.0,263900.0,527.0,89.59
1792,0.0,,,
1794,1.0,284400.0,568.0,96.56
1797,0.0,,,
1800,0.0,,,
1802,0.0,,140.0,23.8
1819,1.0,501200.0,4000.0,680.0
1828,1.0,667600.0,6676.0,1134.92
1833,0.0,,,
1837,1.0,701400.0,7500.0,1275.0
1838,1.0,274401.0,2744.0,466.48
1878,0.0,,,
1881,1.0,361900.0,1809.0,307.53
1891,3.0,1703063.0,33203.0,5644.51
1902,1.0,444100.0,4441.0,754.97
1904,0.0,,,
1910,1.0,509600.0,5350.0,909.5
1915,0.0,,,
1917,1.0,512900.0,5129.0,871.93
1919,0.0,,,
1928,0.0,,7500.0,1275.0
1938,0.0,,,
1948,1.0,393000.0,3930.0,668.1
1949,0.0,,,
1959,2.0,652193.0,11250.0,1912.5
1991,2.0,1065500.0,11250.0,1912.5
2001,0.0,,,
2006,1.0,393000.0,825.0,140.25
2018,1.0,1229138.0,19359.0,3291.03
2034,2.0,685304.0,4734.0,804.78
2039,0.0,,,
2044,1.0,481300.0,4813.0,818.21
2049,1.0,129200.0,271.0,46.07
2050,1.0,979200.0,11250.0,1912.5
2054,0.0,,2750.0,467.5
2058,1.0,257380.0,2573.0,437.41
2064,1.0,1247000.0,13093.0,2225.81
2077,2.0,286460.0,3000.0,510.0
2104,1.0,457500.0,4803.0,816.51
2106,1.0,719600.0,7555.0,1284.35
2111,1.0,201414.0,2114.0,359.38
2114,2.0,1342900.0,15000.0,2550.0
2120,0.0,,,
2127,3.0,1067425.0,12401.0,2108.17
2139,0.0,,,
2164,21.0,3548120.0,39275.0,6676.75
2165,1.0,800100.0,8001.0,1360.17
2169,1.0,402500.0,4500.0,765.0
2189,1.0,271900.0,3000.0,510.0
2192,0.0,,,
2198,1.0,302300.0,3174.0,539.58
2222,0.0,,,
2226,1.0,236400.0,1750.0,297.5
2230,1.0,359900.0,3500.0,595.0
2238,1.0,232400.0,488.0,82.96
2245,1.0,281900.0,563.0,95.71
2247,1.0,535300.0,7500.0,1275.0
2256,1.0,470000.0,4000.0,680.0
2268,0.0,,,
2272,0.0,,,
2285,1.0,520100.0,7500.0,1275.0
2286,0.0,,,
2287,0.0,,,
2289,1.0,658000.0,7500.0,1275.0
2292,0.0,,,
2294,0.0,,,
2300,2.0,487900.0,5123.0,870.91
2307,5.0,9195197.0,203025.0,34514.25
2311,1.0,246900.0,518.0,88.06
2317,1.0,798400.0,7984.0,1357.28
2343,1.0,392400.0,3924.0,667.08
2351,3.0,945300.0,9453.0,1607.01
2364,1.0,535800.0,5358.0,910.86
2375,0.0,,,
2386,1.0,207300.0,414.0,70.38
2394,0.0,,,
2413,1.0,436700.0,4585.0,779.45
2416,1.0,837000.0,11250.0,1912.5
2430,0.0,,,
2448,1.0,448900.0,7500.0,1275.0
2457,0.0,,,
2459,2.0,863840.0,15000.0,2550.0
2488,0.0,,,
2498,4.0,2632400.0,37308.0,6342.36
2509,2.0,3700700.0,53950.0,9171.5
2514,1.0,1193900.0,11939.0,2029.63
2516,0.0,,,
2532,0.0,,,
2542,0.0,,3000.0,510.0
2548,1.0,666200.0,6662.0,1132.54
2551,1.0,349000.0,1745.0,296.65
2561,2.0,1267562.0,18741.0,3185.97
2566,1.0,548500.0,7500.0,1275.0
2569,1.0,310400.0,620.0,105.4
2571,0.0,,7500.0,1275.0
2582,1.0,478043.0,4780.0,812.6
2587,0.0,,,
2592,0.0,,,
2597,0.0,,,
2599,2.0,761300.0,7993.0,1358.81
2609,0.0,,,
2610,0.0,,,
2627,1.0,622600.0,7500.0,1275.0
2638,1.0,645000.0,6450.0,1096.5
2657,0.0,,,
2658,0.0,,,
2661,0.0,,,
2664,1.0,314200.0,3500.0,595.0
2667,0.0,,3000.0,510.0
2668,0.0,,,
2674,0.0,,,
2675,0.0,,,
2678,1.0,900800.0,9008.0,1531.36
2685,0.0,,,
2689,0.0,,,
2712,1.0,415700.0,4364.0,741.88
2717,1.0,756500.0,22500.0,3825.0
2728,0.0,,,
2733,1.0,303700.0,3037.0,516.29
2740,0.0,,3500.0,595.0
2746,0.0,,,
2770,0.0,,,
2772,1.0,257500.0,2250.0,382.5
2773,4.0,1451775.0,30000.0,5100.0
2786,0.0,,,
2791,0.0,,,
2800,1.0,298000.0,596.0,101.32
2816,0.0,,,
2821,1.0,199307.0,2092.0,355.64
2822,1.0,807800.0,8078.0,1373.26
2827,0.0,,,
2840,0.0,,,
2842,0.0,,10000.0,1700.0
2855,2.0,727200.0,4196.0,713.32
2860,1.0,463600.0,4636.0,788.12
2874,1.0,468100.0,3750.0,637.5
2896,0.0,,,
2904,1.0,408800.0,2146.0,364.82
2950,0.0,,,
2959,1.0,102700.0,215.0,36.55
2970,1.0,1099600.0,11545.0,1962.65
2976,1.0,937903.0,9848.0,1674.16
2979,0.0,,2000.0,340.0
2992,1.0,300600.0,601.0,102.17
3018,0.0,,,
3055,0.0,,,
3065,1.0,811300.0,8518.0,1448.06
3068,2.0,419778.0,3133.0,532.61
3081,1.0,402600.0,4026.0,684.42
3084,0.0,,,
3085,1.0,376100.0,3949.0,671.33
3095,3.0,1577804.0,36931.0,6278.27
3142,1.0,386900.0,1934.0,328.78
3151,2.0,1668849.0,24635.0,4187.95
